0,365.0,420.0
1,345.0,558.0
2,331.0,758.0
3,243.0,754.0
4,225.0,759.0
5,202.0,683.0
6,210.0,637.0
7,268.0,566.0
8,320.0,504.0
9,338.0,568.0
10,344.0,609.0
11,375.0,616.0
12,388.0,434.0
13,385.0,387.0
14,377.0,426.0
15,398.0,218.0
16,305.0,293.0
17,234.0,402.0
18,219.0,464.0
19,258.0,720.0
20,252.0,701.0
21,252.0,700.0
22,331.0,739.0
23,368.0,763.0
24,377.0,890.0
25,381.0,985.0
26,371.0,981.0
27,415.0,912.0
28,343.0,771.0
29,258.0,639.0
30,249.0,698.0
31,263.0,570.0
32,270.0,372.0
33,272.0,352.0
34,269.0,333.0
35,235.0,544.0
36,282.0,567.0
37,334.0,543.0
38,349.0,543.0
39,263.0,525.0
40,237.0,532.0
41,223.0,604.0
42,207.0,564.0
43,207.0,552.0
44,277.0,661.0
45,325.0,817.0
46,345.0,821.0
47,342.0,822.0
48,325.0,708.0
49,304.0,494.0
50,288.0,578.0
51,288.0,579.0
52,266.0,586.0
53,327.0,553.0
54,329.0,542.0
55,324.0,536.0
56,293.0,615.0
57,353.0,741.0
58,378.0,739.0
59,325.0,822.0
60,228.0,1005.0
61,370.0,530.0
62,324.0,658.0
63,325.0,664.0
64,268.0,654.0
65,271.0,550.0
66,339.0,311.0
67,409.0,291.0
68,477.0,317.0
69,478.0,531.0
70,352.0,888.0
71,248.0,866.0
72,297.0,868.0
73,427.0,896.0
74,418.0,763.0
75,413.0,705.0
76,464.0,876.0
77,384.0,891.0
78,564.0,931.0
79,449.0,867.0
80,436.0,869.0
81,453.0,897.0
82,400.0,923.0
83,294.0,981.0
84,254.0,975.0
85,235.0,923.0
86,218.0,897.0
87,325.0,869.0
88,321.0,923.0
89,389.0,851.0
90,432.0,819.0
91,399.0,724.0
92,272.0,678.0
93,323.0,685.0
94,406.0,704.0
95,397.0,706.0
96,295.0,693.0
97,229.0,699.0
98,202.0,526.0
99,321.0,474.0
100,494.0,485.0
101,472.0,574.0
102,405.0,961.0
103,320.0,922.0
104,204.0,846.0
105,152.0,567.0
106,359.0,291.0
107,499.0,-234.0
108,510.0,-10.0
109,492.0,-12.0
110,498.0,257.0
111,434.0,221.0
112,359.0,224.0
113,278.0,177.0
114,240.0,222.0
115,218.0,314.0
116,256.0,238.0
117,304.0,190.0
118,402.0,191.0
119,496.0,223.0
120,497.0,213.0
121,506.0,228.0
122,378.0,212.0
123,449.0,211.0
124,620.0,253.0
125,555.0,239.0
126,540.0,231.0
127,510.0,390.0
128,482.0,783.0
129,420.0,973.0
130,349.0,969.0
131,294.0,956.0
132,325.0,948.0
133,423.0,550.0
134,418.0,506.0
135,433.0,499.0
136,447.0,396.0
137,453.0,329.0
138,476.0,272.0
139,523.0,246.0
140,533.0,244.0
141,629.0,337.0
142,662.0,402.0
